age,gender,country,education,job_role,code_time_numeric,has_machine_learning_numeric
22-24,Male,India,Master’s degree,Student,1,1
25-29,Male,India,Master’s degree,Data Scientist,2,1
25-29,Male,Japan,Master’s degree,Data Scientist,2,1
45-49,Male,Italy,No formal education past high school,Not employed,1,1
35-39,Male,Russia,Professional degree,Product/Project Manager,3,1
35-39,Female,Taiwan,Master’s degree,Product/Project Manager,1,0
22-24,Female,United States of America,Bachelor’s degree,Data Scientist,3,1
70+,Male,Other,Doctoral degree,Research Scientist,3,0
22-24,Female,India,I prefer not to answer,Software Engineer,1,0
45-49,Male,Other,Doctoral degree,Research Scientist,6,1
30-34,Male,Egypt,Master’s degree,Data Scientist,2,0
25-29,Male,Brazil,Master’s degree,Software Engineer,3,0
22-24,Male,Brazil,Bachelor’s degree,Data Scientist,2,1
30-34,Male,Russia,Doctoral degree,Data Scientist,4,1
40-44,Male,United States of America,Master’s degree,Data Scientist,6,0
50-54,Female,Brazil,Doctoral degree,Product/Project Manager,6,1
22-24,Female,Other,Master’s degree,Student,1,1
25-29,Female,Ukraine,Bachelor’s degree,Software Engineer,1,1
30-34,Male,Brazil,No formal education past high school,Student,1,1
18-21,Male,India,Master’s degree,Student,2,1
22-24,Male,Bangladesh,Bachelor’s degree,Student,2,1
25-29,Female,United States of America,Master’s degree,Data Scientist,4,1
25-29,Male,Morocco,Doctoral degree,Statistician,3,0
30-34,Female,United States of America,Doctoral degree,Student,2,1
25-29,Female,Canada,Master’s degree,Data Scientist,3,1
22-24,Male,United States of America,Master’s degree,Business Analyst,1,1
25-29,Female,United States of America,Doctoral degree,Student,3,1
25-29,Male,Brazil,Bachelor’s degree,Other,3,0
55-59,Male,United States of America,Doctoral degree,Other,3,0
25-29,Male,Hungary,Some college/university study without earning a bachelor’s degree,Data Analyst,3,1
25-29,Male,Belarus,Doctoral degree,Data Scientist,4,1
22-24,Male,Spain,Master’s degree,Data Analyst,3,1
22-24,Male,United States of America,Bachelor’s degree,Data Analyst,2,0
22-24,Male,India,Master’s degree,Student,2,1
22-24,Female,India,Master’s degree,Data Scientist,4,1
18-21,Male,Canada,Bachelor’s degree,Data Scientist,3,1
18-21,Female,Nigeria,Bachelor’s degree,Student,2,1
25-29,Male,India,Master’s degree,Business Analyst,2,1
40-44,Male,India,Master’s degree,Data Scientist,3,0
22-24,Female,Other,Bachelor’s degree,Student,1,1
35-39,Male,France,Master’s degree,Data Scientist,3,1
30-34,Male,Other,Doctoral degree,Data Scientist,2,1
30-34,Male,Colombia,Doctoral degree,Research Scientist,5,1
30-34,Male,Brazil,Bachelor’s degree,Software Engineer,1,1
40-44,Male,Germany,Doctoral degree,Research Scientist,4,1
40-44,Male,United States of America,Professional degree,Statistician,5,1
35-39,Male,India,Master’s degree,Data Scientist,1,0
25-29,Male,Japan,Doctoral degree,Research Scientist,0,1
55-59,Male,Australia,Doctoral degree,Not employed,6,1
22-24,Male,Taiwan,Master’s degree,Student,2,1
30-34,Male,India,Professional degree,Business Analyst,2,1
25-29,Female,United States of America,Master’s degree,Data Scientist,4,1
55-59,Male,India,Master’s degree,Product/Project Manager,1,0
22-24,Male,Egypt,Bachelor’s degree,Data Scientist,2,1
25-29,Male,India,Master’s degree,Data Scientist,3,1
30-34,Male,India,Bachelor’s degree,Software Engineer,2,1
50-54,Male,Sweden,Master’s degree,Other,4,1
18-21,Female,Nigeria,Bachelor’s degree,Data Scientist,3,0
45-49,Male,United States of America,Master’s degree,Data Analyst,5,0
30-34,Male,Canada,Bachelor’s degree,Software Engineer,5,1
25-29,Male,Norway,Master’s degree,Data Scientist,3,0
22-24,Male,Pakistan,Master’s degree,Student,1,1
30-34,Male,Other,Master’s degree,Research Scientist,1,0
18-21,Male,India,Bachelor’s degree,Student,0,1
25-29,Female,India,Master’s degree,Data Scientist,3,1
18-21,Male,India,Bachelor’s degree,Student,0,1
25-29,Male,Netherlands,Bachelor’s degree,Data Scientist,4,1
30-34,Male,United States of America,Master’s degree,Data Analyst,3,0
35-39,Male,India,Master’s degree,Data Scientist,5,1
40-44,Male,Japan,Doctoral degree,Research Scientist,4,1
25-29,Male,Spain,Master’s degree,Data Scientist,3,1
45-49,Male,United States of America,Master’s degree,Other,4,1
30-34,Male,South Africa,Master’s degree,Software Engineer,4,0
50-54,Male,United States of America,Bachelor’s degree,Software Engineer,6,1
30-34,Female,United States of America,Bachelor’s degree,Data Analyst,2,1
60-69,Male,United States of America,Doctoral degree,Other,2,1
30-34,Male,Czech Republic,Master’s degree,Other,3,0
30-34,Male,Thailand,Master’s degree,Data Scientist,3,1
30-34,Male,Taiwan,Master’s degree,Data Scientist,4,1
25-29,Male,Netherlands,Doctoral degree,Data Scientist,4,1
40-44,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,5,1
18-21,Male,Nigeria,Master’s degree,Not employed,2,1
22-24,Male,China,Master’s degree,Student,2,1
30-34,Male,India,Bachelor’s degree,DBA/Database Engineer,1,0
35-39,Male,South Korea,Master’s degree,Data Scientist,4,1
18-21,Male,India,I prefer not to answer,Student,1,1
45-49,Male,Turkey,Doctoral degree,Research Scientist,4,0
45-49,Male,United States of America,Master’s degree,Research Scientist,5,1
40-44,Male,Indonesia,Bachelor’s degree,Other,6,1
22-24,Male,France,Master’s degree,Data Scientist,2,1
45-49,Male,United States of America,Master’s degree,Other,3,0
25-29,Female,Morocco,Doctoral degree,Student,2,1
25-29,Female,Turkey,Bachelor’s degree,Data Analyst,1,0
22-24,Female,India,Master’s degree,Other,1,0
40-44,Male,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,5,1
35-39,Male,Japan,Master’s degree,Data Scientist,3,1
50-54,Male,Italy,Master’s degree,Software Engineer,2,0
30-34,Male,Switzerland,Doctoral degree,Data Scientist,4,1
18-21,Male,India,Bachelor’s degree,Student,1,1
40-44,Male,United States of America,Master’s degree,Data Scientist,5,1
22-24,Male,India,Bachelor’s degree,Software Engineer,2,0
18-21,Male,India,Bachelor’s degree,Student,2,1
22-24,Female,Russia,Master’s degree,Not employed,1,1
22-24,Male,United States of America,Master’s degree,Data Scientist,2,1
60-69,Male,United States of America,Master’s degree,Other,2,1
22-24,Male,Pakistan,Bachelor’s degree,Student,3,1
30-34,Male,India,Doctoral degree,Data Analyst,3,1
25-29,Male,Mexico,Master’s degree,Data Scientist,3,1
30-34,Male,Other,Master’s degree,Data Scientist,3,1
30-34,Male,Italy,Doctoral degree,Research Scientist,4,1
35-39,Male,Other,Doctoral degree,Data Scientist,5,1
30-34,Male,South Africa,Professional degree,Product/Project Manager,5,1
50-54,Male,Brazil,Master’s degree,Statistician,6,1
22-24,Female,Pakistan,Master’s degree,Research Scientist,2,0
35-39,Male,Portugal,Master’s degree,Other,4,1
30-34,Male,Germany,Doctoral degree,Data Scientist,4,1
25-29,Male,United States of America,Master’s degree,Statistician,4,1
60-69,Male,United States of America,Bachelor’s degree,Software Engineer,4,0
40-44,Male,Argentina,Master’s degree,Business Analyst,5,0
25-29,Male,Brazil,Bachelor’s degree,Product/Project Manager,1,0
50-54,Male,Italy,Some college/university study without earning a bachelor’s degree,Software Engineer,6,1
25-29,Male,United States of America,Master’s degree,Software Engineer,1,0
18-21,Male,India,Bachelor’s degree,Student,1,1
35-39,Male,Netherlands,Doctoral degree,Data Scientist,4,1
22-24,Male,India,Bachelor’s degree,Data Engineer,1,1
18-21,Female,United States of America,Bachelor’s degree,Software Engineer,3,1
25-29,Male,Taiwan,Master’s degree,Software Engineer,2,1
25-29,Female,India,Master’s degree,Data Analyst,1,1
18-21,Male,India,Bachelor’s degree,Student,1,1
35-39,Male,Ukraine,I prefer not to answer,Software Engineer,1,0
18-21,Female,Russia,Bachelor’s degree,Data Analyst,2,1
55-59,Male,Colombia,Master’s degree,Data Analyst,5,0
25-29,Male,Thailand,Master’s degree,Data Scientist,2,1
22-24,Male,Viet Nam,Master’s degree,Research Scientist,2,1
30-34,Male,India,Master’s degree,Software Engineer,1,0
50-54,Male,Indonesia,Professional degree,Data Analyst,3,1
22-24,Male,Nigeria,Master’s degree,Student,1,1
35-39,Male,Other,Doctoral degree,Software Engineer,5,0
25-29,Male,India,Bachelor’s degree,Software Engineer,1,0
30-34,Male,Chile,Bachelor’s degree,Software Engineer,3,0
18-21,Male,India,Bachelor’s degree,Student,1,1
22-24,Male,Colombia,Bachelor’s degree,Statistician,3,0
30-34,Male,Colombia,Master’s degree,Product/Project Manager,2,1
25-29,Male,United States of America,Master’s degree,Not employed,3,1
40-44,Male,Taiwan,Doctoral degree,Data Analyst,1,0
25-29,Male,India,Bachelor’s degree,Data Engineer,3,1
35-39,Male,United States of America,Doctoral degree,Data Analyst,4,0
25-29,Female,United States of America,Bachelor’s degree,Data Scientist,1,1
22-24,Female,Indonesia,Bachelor’s degree,Business Analyst,1,0
35-39,Male,United States of America,Bachelor’s degree,Data Analyst,3,1
35-39,Female,France,Bachelor’s degree,Software Engineer,1,0
40-44,Female,United States of America,Doctoral degree,Data Scientist,4,1
18-21,Male,India,Master’s degree,Student,3,1
22-24,Male,Russia,Master’s degree,Data Scientist,2,1
18-21,Male,India,Bachelor’s degree,Student,1,1
22-24,Female,Morocco,Master’s degree,Not employed,2,1
22-24,Female,South Korea,Some college/university study without earning a bachelor’s degree,Student,2,1
25-29,Female,United States of America,Master’s degree,Data Scientist,4,1
22-24,Male,India,Bachelor’s degree,Student,1,1
22-24,Male,Colombia,Master’s degree,Student,2,1
30-34,Male,Israel,Master’s degree,Data Scientist,4,1
18-21,Male,India,Bachelor’s degree,Student,2,1
30-34,Prefer to self-describe,Other,Doctoral degree,Research Scientist,3,0
25-29,Female,India,Master’s degree,Student,1,1
25-29,Male,Other,Master’s degree,Software Engineer,1,0
60-69,Male,United States of America,Doctoral degree,Data Scientist,6,1
25-29,Female,Russia,Doctoral degree,Data Scientist,3,1
25-29,Male,Other,Master’s degree,Other,2,1
30-34,Male,India,Master’s degree,Data Scientist,4,1
55-59,Male,United States of America,Bachelor’s degree,Other,6,1
22-24,Male,India,Bachelor’s degree,Data Analyst,2,0
22-24,Male,India,Bachelor’s degree,Data Scientist,2,0
25-29,Male,Italy,Professional degree,Data Scientist,4,0
55-59,Female,Canada,Bachelor’s degree,Data Analyst,4,1
22-24,Male,Mexico,Master’s degree,Research Scientist,2,0
22-24,Male,United States of America,Master’s degree,Student,1,1
22-24,Male,India,Bachelor’s degree,Data Scientist,1,0
25-29,Male,United States of America,Bachelor’s degree,Data Analyst,3,0
22-24,Female,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Analyst,2,1
22-24,Male,India,Bachelor’s degree,Data Engineer,1,0
25-29,Prefer not to say,Japan,Master’s degree,Data Analyst,3,1
45-49,Female,United States of America,Master’s degree,Data Analyst,3,1
18-21,Prefer not to say,Other,Some college/university study without earning a bachelor’s degree,Student,3,1
25-29,Male,United States of America,Master’s degree,Student,1,1
25-29,Male,United States of America,Master’s degree,Data Scientist,2,1
22-24,Male,India,Master’s degree,Software Engineer,2,0
18-21,Male,India,Master’s degree,Business Analyst,6,1
30-34,Male,Japan,Master’s degree,Data Analyst,3,0
55-59,Male,Taiwan,Doctoral degree,Research Scientist,2,0
25-29,Male,Russia,No formal education past high school,Statistician,3,0
25-29,Male,Mexico,Bachelor’s degree,Data Scientist,3,0
22-24,Prefer to self-describe,Russia,Professional degree,Software Engineer,2,1
30-34,Male,India,Bachelor’s degree,Software Engineer,1,1
18-21,Male,India,Bachelor’s degree,Data Scientist,1,1
18-21,Female,India,Professional degree,Other,0,0
35-39,Male,Brazil,Master’s degree,DBA/Database Engineer,3,0
30-34,Male,Argentina,Doctoral degree,Data Scientist,5,1
22-24,Male,India,Bachelor’s degree,Student,2,1
22-24,Male,Japan,Bachelor’s degree,Student,2,1
40-44,Male,Brazil,Bachelor’s degree,Other,1,0
18-21,Male,India,Master’s degree,Software Engineer,2,1
22-24,Prefer not to say,Viet Nam,Bachelor’s degree,Data Scientist,2,0
30-34,Male,Japan,Bachelor’s degree,Other,4,1
30-34,Male,United States of America,Master’s degree,Product/Project Manager,4,1
25-29,Male,Italy,Doctoral degree,Research Scientist,4,0
25-29,Male,India,Master’s degree,Data Scientist,3,1
18-21,Male,India,Bachelor’s degree,Student,2,1
60-69,Male,United States of America,Master’s degree,Other,1,0
25-29,Female,United States of America,Master’s degree,Student,2,1
30-34,Male,Japan,Master’s degree,Data Scientist,4,1
18-21,Male,India,Bachelor’s degree,Student,1,1
18-21,Male,India,Some college/university study without earning a bachelor’s degree,Student,1,1
18-21,Female,Ukraine,Master’s degree,Student,1,1
30-34,Male,India,Bachelor’s degree,Software Engineer,2,1
30-34,Male,India,Bachelor’s degree,Software Engineer,4,0
25-29,Male,United States of America,Master’s degree,Data Analyst,1,0
35-39,Female,Tunisia,Doctoral degree,Not employed,3,1
55-59,Male,Brazil,Master’s degree,Software Engineer,3,0
25-29,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,3,1
25-29,Female,Chile,Master’s degree,Product/Project Manager,1,0
30-34,Male,Netherlands,Doctoral degree,Data Scientist,4,0
18-21,Male,Other,Some college/university study without earning a bachelor’s degree,Student,1,1
40-44,Male,United States of America,Professional degree,Software Engineer,2,0
25-29,Male,Russia,Doctoral degree,Research Scientist,1,0
18-21,Male,Brazil,Bachelor’s degree,Student,1,1
25-29,Male,India,Master’s degree,Student,1,1
45-49,Female,Japan,Doctoral degree,Data Scientist,5,0
35-39,Male,Spain,Doctoral degree,Research Scientist,2,1
35-39,Male,Singapore,Master’s degree,Data Scientist,4,1
30-34,Male,Pakistan,Bachelor’s degree,Software Engineer,2,0
30-34,Male,United States of America,Master’s degree,Data Scientist,4,1
18-21,Male,Russia,Some college/university study without earning a bachelor’s degree,Student,3,1
50-54,Male,Canada,Master’s degree,Data Scientist,3,1
30-34,Female,France,Doctoral degree,Research Scientist,2,0
45-49,Female,Canada,Bachelor’s degree,Product/Project Manager,5,0
18-21,Male,India,Bachelor’s degree,Student,3,1
22-24,Female,United States of America,Master’s degree,Student,1,1
25-29,Male,Egypt,Bachelor’s degree,Not employed,2,1
18-21,Male,India,Bachelor’s degree,Student,1,1
30-34,Male,India,Master’s degree,Other,0,0
25-29,Female,Other,Master’s degree,Data Scientist,1,1
35-39,Male,Brazil,Master’s degree,Software Engineer,2,0
40-44,Male,Poland,Master’s degree,Business Analyst,1,0
18-21,Male,India,Bachelor’s degree,Student,1,1
25-29,Male,Republic of Korea,Some college/university study without earning a bachelor’s degree,Student,1,1
30-34,Female,Russia,Master’s degree,Data Analyst,4,1
25-29,Female,United States of America,Bachelor’s degree,Other,3,0
45-49,Male,Norway,Bachelor’s degree,Not employed,1,1
25-29,Male,United States of America,Master’s degree,Student,2,1
25-29,Male,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Research Scientist,4,1
40-44,Female,United States of America,Bachelor’s degree,Data Analyst,2,0
25-29,Male,Germany,Doctoral degree,Research Scientist,3,1
22-24,Male,Germany,Master’s degree,Software Engineer,4,1
40-44,Female,United States of America,Master’s degree,Software Engineer,3,1
25-29,Male,India,Master’s degree,Not employed,3,1
50-54,Male,France,Professional degree,Data Engineer,6,1
25-29,Male,Brazil,Doctoral degree,Product/Project Manager,1,0
35-39,Male,United States of America,Doctoral degree,Statistician,5,1
22-24,Male,Mexico,Some college/university study without earning a bachelor’s degree,Data Engineer,1,0
40-44,Male,United States of America,Bachelor’s degree,Statistician,6,0
45-49,Male,United States of America,Master’s degree,Data Analyst,2,1
18-21,Female,Turkey,Bachelor’s degree,Student,2,1
30-34,Male,United States of America,Master’s degree,Data Scientist,4,1
35-39,Male,Other,Bachelor’s degree,Product/Project Manager,1,0
22-24,Male,Colombia,Professional degree,Data Analyst,3,0
30-34,Male,United States of America,Master’s degree,Research Scientist,4,1
30-34,Female,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Not employed,2,1
35-39,Male,Canada,Doctoral degree,Data Scientist,5,1
45-49,Female,Italy,Professional degree,Software Engineer,1,0
50-54,Male,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Product/Project Manager,3,1
18-21,Male,India,Bachelor’s degree,Student,0,1
40-44,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Product/Project Manager,5,1
30-34,Male,Germany,Doctoral degree,Research Scientist,3,1
25-29,Male,India,Bachelor’s degree,Software Engineer,1,0
30-34,Male,United States of America,Master’s degree,Software Engineer,1,1
25-29,Male,Germany,Master’s degree,Data Analyst,2,1
40-44,Male,United States of America,Doctoral degree,Data Scientist,4,1
50-54,Male,United States of America,Master’s degree,Other,6,0
40-44,Male,India,I prefer not to answer,Product/Project Manager,3,0
35-39,Female,Sweden,Master’s degree,Data Engineer,3,0
25-29,Male,United States of America,Bachelor’s degree,Data Engineer,3,1
25-29,Male,United States of America,Master’s degree,Software Engineer,2,0
30-34,Female,Brazil,Master’s degree,Not employed,2,1
22-24,Male,Canada,Some college/university study without earning a bachelor’s degree,Data Engineer,1,0
30-34,Male,South Africa,Master’s degree,Business Analyst,3,1
30-34,Male,United States of America,Master’s degree,Data Scientist,5,1
22-24,Male,New Zealand,Bachelor’s degree,Student,3,1
18-21,Male,Republic of Korea,Some college/university study without earning a bachelor’s degree,Student,2,1
30-34,Male,Canada,Master’s degree,Data Scientist,3,1
30-34,Male,United States of America,Doctoral degree,Data Scientist,5,0
30-34,Male,India,Master’s degree,Product/Project Manager,1,0
40-44,Male,Canada,Doctoral degree,Research Scientist,5,1
25-29,Female,United States of America,Bachelor’s degree,Business Analyst,1,0
30-34,Male,United States of America,Bachelor’s degree,Other,4,0
40-44,Male,Italy,Master’s degree,Data Analyst,3,0
40-44,Male,Poland,Master’s degree,Product/Project Manager,5,1
30-34,Male,Poland,Master’s degree,Data Scientist,3,1
25-29,Male,India,Bachelor’s degree,Data Scientist,4,1
25-29,Female,India,Bachelor’s degree,Software Engineer,1,0
40-44,Male,United States of America,Doctoral degree,Other,5,1
25-29,Male,Spain,Master’s degree,Product/Project Manager,3,1
